wisdom [wízdǝm],지혜
examine [igzǽmin],"검사하다, 조사하다; 시험하다"
spring [spriŋ],샘물; 봄; 용수철; 튀어오르다
foreign [fɔ́(ː)ri],외국의
feather [féðǝr],"깃털, 깃"
pulse [pʌls],"맥박, 맥"
soar [sɔːr],솟아오르다 
sore [sɔːr],"아픈, 쓰라린"
sour [sáuǝr],시큼한
object [άbdʒikt],"물체, 대상; 목적; 반대하다(~ to)"
subject [sʌ́bdʒikt],"과목; 주제; 국민, 신하; 피실험자"
project [prǝdʒékt],"계획(안), 설계; 과제"
thumb [θʌm],엄지손가락
appoint [ǝpɔ́int],"지명하다, 임명하다; (날짜 등) 정하다"
appointment [ǝpɔ́intmǝnt],"약속; 임명, 지명"
canal [kǝnǽl],"수로, 운하"
represent [rèprizént],"대표하다; 보여주다, 설명하다"
seek [siːk],"추구하다, 찾다"
tradition [trǝdíʃən],전통
positive [pάzǝtiv],긍정적인; 적극적인; 양성의
negative [négǝtiv],부정적인; 소극적인; 음성의
cure [kjuǝr],"치료, 치료하다"
heal [hiːl],치료하다
mushroom [mʌ́ʃru(ː)m],버섯
warn [wɔːrn],경고하다
scale [skeil],"눈금, 축척; 규모; 등급, 단계"
refrigerator [rifrídʒǝrèitǝr],냉장고
gain [gein],"얻다, 획득하다"
sigh [sai],한숨; 한숨 쉬다
haste [heist],"서두름, 급함"
plain [plein],분명한; 솔직한; 순수한; 간단한
familiar [fǝmíljǝr],"친밀한; 낯익은, 익숙한"
store [stɔːr],"저장하다, 비축하다; 저장, 비축"
climate [kláimit],"기후; 풍토, 분위기"
fiber [fáibǝr],"섬유, 실"
fur [fǝːr],"모피, 털"
thirsty [θə́ːrsti],목마른
filter [fíltǝr],"여과기, 여과하다"
neat [niːt],깔끔한
wheel [hwiːl],"수레바퀴, (자동차) 핸들"
grab [græb],움켜잡다
delete [dilíːt],삭제하다
graduate [grǽdʒuèit],졸업하다
poem [póuim],시
curiosity [kjùəriάsǝti],호기심
ride – rode – ridden [raid],타다
revolution [rèvǝlúːʃən],혁명
pour [pɔːr],"붓다, 쏟다"
tight [tait],"팽팽한, 빈틈없는; (옷이) 꼭 끼는"
entire [entáiǝr],전체의
thrill [θril],감격시키다; 전율
declare [diklέǝr],선언하다
adapt [ǝdǽpt],적응시키다; ~에 순응하다
adopt [ǝdάpt],"입양하다; 채택하다, 채용하다"
square [skwεǝr],정사각형; 광장; 제곱
edition [idíʃən],"(초판, 재판의) 판(版)"
poet [póuit],시인
election [ilékʃən],선거
beast [biːst],짐승
increase [inkríːs],늘리다
decrease [díːkriːs],감소; 줄이다
benefit [bénǝfit],"이익; 이익을 주다, 이익을 얻다"
civil [sívəl],"시민의, 문명의"
offend [ǝfénd],불쾌하게 하다; (예절/법) 위반하다
belief [bilíːf],"믿음, 신념"
shuttle [ʃʌ́tl],"왕복 운행기[버스, 기차, 우주선 등]"
assign [ǝsáin],"할당하다, 배정하다, 부여하다"
hut [hʌt],오두막집
side [said],"쪽, 측면, 옆구리"
trick [trik],"묘기, 곡예, 장난; 책략, 속임수"
universe [júːnǝvə̀ːrs],우주
secretary [sékrǝtèri],비서; (the ~) 장관
precious [préʃǝs],귀중한
manner [mǽnǝr],"방법, 양식; (~s) 예절"
discussion [diskʌ́ʃən],"논의, 토론"
regret [rigrét],"후회, 후회하다; 유감, 유감이다"
Mars [mɑːrz],화성
planet [plǽnǝt],행성
painful [péinfǝl],고통스러운
edge [edʒ],"모서리, 테두리; 칼날, 날카로움"
invade [invéid],"침입하다, 침범하다"
cell [sel],작은 방; 세포
closely [klóusli],"면밀히, 밀접히, 친밀히"
ceremony [sérǝmòuni],"식, 의식; (으레 하는) 의례, 예법"
safety [séifti],안전
characteristic [kæ̀riktǝrístik],"특징, 특징적인"
global [glóubəl],"공 모양의; 전 세계의, 지구의"
broadcast [brɔ́ːdkæ̀st],방송하다
delight [diláit],기쁨
passion [pǽʃən],"열정, 열망; 분노, 울화"
destroy [distrɔ́i],파괴하다
spoil [spɔil],망쳐 놓다
ruin [rúːin],"망치다, 파멸시키다, 몰락시키다"
slice [slais],"(빵, 햄 등의) 얇은 조각"
even [íːvən],"심지어, 훨씬; 평평한"
advertise [ǽdvǝrtàiz],"광고하다, 널리 알리다"
ability [ǝbílǝti],"능력, 역량"
chest [tʃest],가슴
recycle [riːsáikəl],재활용하다
repeat [ripíːt],"반복하다, 되풀이하다"
review [rivjúː],"검토하다, 비평하다, 복습하다"
rat [ræt],쥐
advantage [ædvǽntidʒ],"유리, 이점, 편익"
apart [ǝpάːrt],"떨어져, 별개로"
mood [muːd],(일시적) 기분; 분위기
record [rékǝrd],"기록하다; 기록, 경력, 음반"
crash [kræʃ],충돌; 요란한 소리(와장창 따위)
rude [ruːd],"무례한, 버릇 없는"
arrival [ǝráivəl],도착
trousers [tráuzǝrz],바지
emotion [imóuʃən],감정
anxious [ǽŋkʃǝs],걱정하는(about); 열망하는(for)
puzzle [pʌ́zl],당혹케 하다
scare [skεǝr],"무섭게 하다, 겁주다"
upset [ʌpsét],화나게 하다; 뒤집다; 배탈나다
merry [méri],"즐거운, 쾌적한"
wonder [wʌ́ndǝr],놀라워하다; 궁금해 하다; 놀라움
amaze [ǝméiz],(대단해서) 놀라게 하다
shock [ʃɑk],충격
disappointed [dìsǝpɔ́intid],실망한
satisfied [sǽtisfàid],만족하는
amuse [ǝmjúːz],즐겁게 하다
amusement [ǝmjúːzmǝnt],"놀이, 오락, 즐거움"
interested [íntəristid],흥미 있는
